Age,GPA,Attendance_Rate,Study_Hours_Per_Week,Homework_Submission_Rate,Distance_From_School,Family_Size,Disciplinary_Actions,Teacher_Evaluation_Score,Parent_Teacher_Meetings_Attended,Extracurricular_Participation,,Gender,Health_Status,School_Transportation,Part_Time_Job,Special_Education_Support,Online_Learning_Participation,School_Facilities_Access,Parent_Education,Family_Income,Parent_Occupation,Student_ID,Dropout_Risk
15,2.297087034,30,6.221745641,24.09247465,10.17589597,7,4,4.942092041,1,1,,F,Poor,Yes,No,No,High,Minimal,Bachelor,Middle,Unemployed,472,1
17,3.142628935,80,13.9545542,85.00702802,0.530023997,2,2,8.727179292,3,4,,F,Fair,Yes,No,Yes,Medium,Limited,Secondary,Low,Government,4411,0
16,3.984464762,80,6.158727403,96.7620006,1.110938487,1,0,8.287352071,4,2,,F,Good,No,No,No,Low,Full,Bachelor,High,Private,4271,0
17,3.52581719,89.9925802,21.54743198,88.55575149,3.30173371,1,0,9.68696467,3,0,,F,Good,Yes,No,No,High,Full,Secondary,High,Private,3634,0
18,2.453149519,70.79827325,3.871003347,50,1,7,1,8.005388992,5,0,,F,Fair,Yes,No,No,High,Full,Master,Middle,Private,1603,0
18,2.603836285,75.74648118,6.014457959,86.79688307,1.037673146,5,0,8.126585627,5,1,,F,Good,Yes,No,No,Medium,Full,Bachelor,Low,Private,1862,0
15,3.451729521,87.69482439,15.59283159,77.88795782,2.431414096,3,0,8.915355522,2,3,,M,Fair,No,No,No,Medium,Full,Bachelor,High,Self-employed,4128,0
15,3.707398466,94.77655739,13.21681929,75.23364289,3.352225716,1,0,8.139167122,2,2,,M,Good,Yes,No,No,Low,Full,Master,Middle,Self-employed,3657,0
16,2.056735661,30,2.37438356,20,14.5521701,3,6,7.566237783,1,0,,F,Fair,Yes,Yes,No,Low,Full,Primary,Middle,Self-employed,200,1
17,1.461531979,30,4.791336239,43.50267995,4.098122337,3,1,6.944116068,2,1,,F,Fair,Yes,Yes,No,Medium,Full,Primary,Low,Private,444,1
16,2.855640916,76.34582077,4.125890783,64.66201593,3.107270241,6,0,5.747327185,1,1,,F,Good,Yes,No,No,High,Full,Secondary,Middle,Government,2606,0
18,3.403511463,88.66741801,15.78078354,84.41866364,0.762676424,2,0,8.759737666,2,0,,F,Fair,No,No,Yes,High,Full,Bachelor,High,Government,3435,0
19,2.316982136,41.89779605,2.525116646,20,10.88496985,5,3,6.44736307,0,0,,M,Good,No,No,No,High,Limited,Bachelor,Middle,Private,945,1
16,2.60186144,63.07672434,2.944046322,71.53599896,2.371804167,4,0,8.42954155,1,1,,M,Good,Yes,No,No,Medium,Full,Bachelor,High,Private,2032,0
17,2.622428661,75.0744929,6.575748818,55.10314073,11.54469819,6,0,6.832032529,3,2,,F,Good,Yes,No,Yes,High,Limited,Secondary,Middle,Self-employed,2544,0
17,3.309132833,85.70091883,14.26211691,88.11808982,0.5,2,0,8.62073038,5,1,,F,Poor,Yes,No,No,High,Full,Bachelor,Middle,Self-employed,3544,0
17,1.497704446,54.20028873,5.272539215,20,4.889882965,2,5,4.804491281,0,1,,F,Fair,No,Yes,No,Low,Limited,Primary,Middle,Private,721,1
15,2.533351471,60,10.35587062,50,7.519185266,5,2,6.926670795,2,1,,M,Good,No,No,No,High,Full,Bachelor,Low,Private,1197,0
15,3.452375473,95.53131503,7.382162854,98.88070767,1.168651237,3,1,8.508033777,2,1,,F,Good,Yes,Yes,No,Low,Full,Secondary,Middle,Government,3251,0
16,4.077738752,90.19765113,16.5884731,75.66352746,0.5,3,0,9.162864903,5,3,,F,Fair,Yes,No,No,Low,Full,Primary,Middle,Government,3013,0
15,2.956806763,70.262608,10.23097631,89.64941857,7.568587693,2,2,6.965456855,0,1,,F,Good,No,Yes,No,Medium,Full,Bachelor,Middle,Private,1845,0
15,3.220727257,80,13.84910596,75,0.674108648,4,0,7.441776905,4,1,,M,Fair,No,Yes,No,Medium,Full,Master,Middle,Self-employed,3179,0
17,3.553071537,87.10631763,15.62518287,76.51443075,2.352819216,2,0,8.6753908,5,2,,M,Good,Yes,No,No,Medium,Limited,Master,Middle,Government,3683,0
20,2.482831037,30,4.520807293,45.03204132,25,4,2,4.472469489,0,0,,M,Good,No,Yes,No,Low,Full,Bachelor,Low,Government,253,1
18,2.466216712,37.08311458,0.255667704,20,9.352471966,2,2,5.440888993,1,0,,M,Good,No,No,No,Low,Full,Primary,Middle,Unemployed,158,1
18,2.374200553,44.17345209,4.38735699,28.49667472,4.77017544,7,2,4.470776476,1,0,,F,Fair,Yes,No,No,Low,Limited,Master,Low,Self-employed,288,1
17,3.750117645,60,7.899468561,50,10.81045605,5,1,7.695848229,1,1,,F,Fair,Yes,No,No,High,Full,Bachelor,Low,Self-employed,1559,0
17,2.853345531,60,6.087112655,68.88461421,5.282210406,4,0,6.218591125,3,4,,F,Good,Yes,No,No,High,Full,Secondary,Low,Private,1457,0
15,3.221074835,83.51967925,9.251466434,94.26517514,0.5,4,0,9.741327913,2,1,,F,Good,Yes,No,No,High,Full,Primary,Middle,Government,4292,0
16,2.658478648,81.71583762,12.16358225,91.76641265,4.285319911,6,1,8.344866328,2,4,,M,Poor,Yes,No,Yes,Low,Full,Bachelor,High,Unemployed,4114,0
16,3.027230651,95,7.358178899,82.41078773,2.005751825,3,1,7.624929522,4,0,,M,Good,Yes,Yes,No,Medium,Full,Master,High,Private,1363,0
15,3.375598315,75.63295134,2.797691583,50.35404831,3.557784913,3,0,7.252713503,1,0,,M,Good,Yes,No,No,High,Full,Secondary,Low,Government,2043,0
15,2.741217267,30,1.586541671,20,2,4,2,6.417769818,1,0,,F,Good,Yes,No,No,Medium,Limited,Primary,Low,Self-employed,24,1
17,2.963288311,80.71604593,18.01335181,77.28537426,1,5,0,6.18466016,3,1,,M,Good,Yes,No,No,Low,Full,Secondary,Middle,Private,2678,0
18,1.996497594,30,3.262554157,76.72850439,2,10,3,4.488866147,0,1,,F,Good,No,No,No,Low,Full,Secondary,Low,Private,694,1
16,1.952280257,30,2.507398156,35.61197574,4.73688205,4,6,7.070295784,2,0,,F,Poor,No,No,No,Low,Limited,Primary,Middle,Unemployed,416,1
16,3.614173818,80,13.93015856,76.4095017,2.516720137,3,1,6.948834288,1,0,,F,Good,Yes,Yes,No,High,Full,Master,Middle,Private,3766,0
18,1.866454463,32.07485285,7.372422282,23.22954055,8.263478962,8,4,3.617690533,1,3,,F,Good,No,Yes,No,Low,Limited,Primary,Middle,Private,299,1
16,3.492627032,80,13.14533452,88.42828832,4.379562888,3,0,9.210765392,4,2,,F,Good,Yes,No,No,Medium,Full,Master,Middle,Private,3978,0
15,2.995565306,95.3075962,9.632528305,75,6.32346961,2,0,8.803345861,2,2,,F,Poor,Yes,No,Yes,Medium,Limited,Bachelor,Low,Unemployed,3803,0
16,3.100469038,81.93874931,5.444847211,81.87563605,7.388671717,3,2,6.877097314,4,1,,F,Good,Yes,Yes,No,Low,Full,Bachelor,High,Self-employed,1968,0
16,1.93431472,48.94375019,3.606578003,22.13172767,6.176824115,3,1,3.059119552,1,1,,F,Good,Yes,No,No,Low,Limited,Primary,Low,Private,808,1
16,2.675935011,64.26832792,9.871701409,75.19294187,2.058915151,4,4,5.935171375,2,1,,M,Fair,Yes,No,No,Medium,Full,Bachelor,Middle,Government,2584,0
16,1.985514593,30,3.050344152,31.45695978,15.23602786,4,2,4.224140274,2,2,,F,Fair,Yes,Yes,No,High,Limited,Primary,Middle,Unemployed,777,1
16,3.155933095,87.45205771,16.24020008,75,1.151179792,1,0,8.024899709,3,0,,M,Good,Yes,No,No,High,Full,Bachelor,Middle,Unemployed,3271,0
15,1.983063622,30,3.209207385,37.93713056,3.144191486,7,6,5.043947412,0,0,,M,Fair,Yes,Yes,Yes,Low,Full,Primary,Middle,Unemployed,430,1
15,3.1905089,86.93700152,7.524645335,80.73477418,1,4,1,4.946186077,5,1,,M,Good,Yes,No,No,High,Full,Bachelor,High,Self-employed,2656,0
15,3.310939748,89.10762592,15.69061483,77.3687308,1.166819011,1,0,7.311069919,1,0,,M,Good,No,No,No,High,Full,Secondary,Middle,Private,3276,0
17,2.729537317,64.66338067,13.4720423,67.98240774,3.931610725,4,1,7.950433898,3,1,,M,Good,Yes,Yes,No,High,Full,Bachelor,Middle,Self-employed,2634,0
16,2.304577943,30,0.504952945,38.18241574,8.134981894,2,5,6.982045737,1,0,,F,Poor,Yes,No,Yes,Low,Minimal,Secondary,Low,Government,323,1
16,3.254973475,60,8.677651055,89.85076406,1.619229224,6,1,6.968950845,1,1,,M,Poor,Yes,No,Yes,Low,Full,Secondary,Low,Private,1879,0
16,2.76538426,83.30315167,5.657747242,71.18037335,5.216562425,1,1,6.874225692,1,1,,F,Good,No,No,No,Medium,Full,Secondary,Middle,Private,1610,0
16,3.049070226,83.83261131,5.244221655,66.3565864,4.090183299,5,0,8.933904853,3,0,,F,Good,Yes,No,No,Medium,Full,Secondary,Middle,Private,1719,0
18,2.035859159,30,2.76595574,50.32763278,4.19782133,3,3,2.600399676,0,0,,F,Poor,No,No,No,High,Full,Bachelor,Middle,Unemployed,765,1
18,2.798514808,60,5.082079706,73.63515322,3.838313149,4,3,5.960947361,2,1,,F,Fair,Yes,No,No,High,Full,Secondary,Middle,Private,1925,0
16,2.854407149,88.20260676,8.627354585,90,1.627140152,2,1,6.482390985,0,0,,M,Poor,Yes,No,No,Medium,Limited,Bachelor,Middle,Private,2243,0
17,3.338201148,81.04806734,9.183678932,61.32876757,6.053596272,5,0,7.445681684,0,2,,F,Good,Yes,Yes,No,Medium,Full,Secondary,Low,Private,1462,0
15,3.382713485,96.52151506,17.54894898,76.88444441,3.820661288,3,0,8.124174878,3,1,,F,Good,Yes,No,Yes,High,Full,Bachelor,High,Self-employed,3880,0
18,3.03006775,81.49158795,12.04353536,90,1,9,1,7.755149981,2,2,,M,Good,Yes,No,No,High,Full,Master,Low,Private,1345,0
16,3.852378445,80,12.83953984,95.36921087,5.387774015,3,0,8.7047103,1,0,,F,Fair,Yes,No,No,Medium,Full,Secondary,High,Government,3050,0
17,3.511674414,80,14.27025613,83.91641879,7.15512792,4,0,7.990517818,2,2,,M,Good,Yes,No,No,Medium,Full,Bachelor,Low,Government,4325,0
18,3.145215516,74.08539988,9.861267049,52.65059701,4.20100838,3,0,6.705900613,2,1,,M,Good,No,Yes,No,Low,Full,Master,Middle,Private,1376,0
17,2.116138266,93.04796205,7.335581082,83.25107818,1,5,0,5.388407676,3,2,,F,Good,No,No,No,Medium,Full,Bachelor,High,Self-employed,1564,0
15,2.378342785,55.52279046,4.170516225,54.25772728,2,4,5,6.313729422,1,0,,F,Good,Yes,No,No,Medium,Limited,Master,Low,Private,669,1
17,3.298155952,80,16.94117094,77.71888328,4.072131777,3,0,8.251413251,2,2,,F,Good,Yes,No,No,Medium,Full,Bachelor,Low,Government,4395,0
15,2.481805861,74.99027165,5.527730388,89.44184737,6.932569651,3,0,5.846910721,3,2,,F,Fair,No,No,No,Low,Full,Secondary,Middle,Government,2270,0
17,2.453176523,60,9.077192563,89.74125726,4.751566797,6,0,6.026616431,0,1,,M,Good,Yes,No,Yes,High,Full,Secondary,High,Self-employed,2684,0
17,2.671484105,77.35336439,10.15114444,61.01132077,4.123692257,10,1,7.571947933,3,2,,M,Good,Yes,No,No,Medium,Full,Secondary,Low,Private,2506,0
16,1.969559396,74.37694818,4.947397417,57.57494745,8.714802247,3,1,8.715315955,5,1,,M,Good,Yes,Yes,No,High,Full,Secondary,Low,Government,2023,0
17,2.615386679,89.799254,6.470328168,77.44284691,3.677806657,5,2,6.606834717,1,0,,F,Good,Yes,No,No,Low,Full,Primary,Middle,Self-employed,2631,0
15,3.957752965,80,22.61476435,95.21847913,0.724005625,2,1,8.379994921,3,5,,M,Good,Yes,No,No,Medium,Limited,Secondary,High,Private,4121,0
17,3.122095177,60,10.77832614,87.64834863,15.18519488,2,1,7.83091246,2,2,,M,Good,No,No,Yes,High,Minimal,Master,Middle,Self-employed,2211,0
15,3.891147604,81.69289828,20.96673732,93.56577713,5.591097812,6,0,8.394679029,2,2,,M,Good,No,No,No,Low,Full,Master,Middle,Private,3286,0
18,2.741378353,60,8.875045011,72.32481959,2.539424926,4,2,6.839442723,1,1,,F,Good,Yes,Yes,Yes,Medium,Limited,Primary,Middle,Government,1942,0
16,2.424233865,60,5.733796193,60.44965035,8.042716921,3,5,6.05369346,5,1,,M,Good,Yes,No,No,Medium,Full,Bachelor,Middle,Self-employed,2632,0
17,3.211950763,80,13.89987824,75,4.395940586,3,1,8.597920915,2,3,,F,Good,No,No,No,Low,Full,Bachelor,Middle,Private,3957,0
17,3.192738214,82.27491205,7.846501556,79.46883594,1,6,1,6.588255525,1,1,,M,Fair,Yes,No,No,High,Limited,Secondary,High,Private,1322,0
16,3.421497989,88.27150571,9.195307376,86.63544863,0.5,3,0,8.942884397,3,2,,M,Good,Yes,Yes,No,High,Full,Secondary,Middle,Private,3114,0
18,2.780868292,89.20995802,19.06397845,75,9.242004942,6,1,8.737448968,3,1,,F,Good,Yes,Yes,No,Medium,Full,Primary,Middle,Private,3545,0
16,2.837353629,82.0783438,5.777575937,79.93820017,1,6,0,8.434125373,3,2,,F,Good,No,Yes,No,Medium,Full,Bachelor,Middle,Government,1783,0
17,2.276959183,30,4.865059324,36.56303037,6.286392503,9,2,5.210791513,1,0,,F,Fair,Yes,Yes,No,High,Minimal,Primary,Low,Self-employed,1091,1
15,2.176648198,60,11.264468,79.89038104,20,5,0,6.402302961,3,0,,F,Good,No,Yes,No,Low,Full,Bachelor,Middle,Private,1552,0
17,2.479638126,84.13440847,6.439455649,59.95623224,1,7,0,8.85422258,1,0,,M,Good,Yes,No,No,Low,Full,Secondary,High,Government,2234,0
16,3.874942041,83.66185647,16.29289365,80.91339674,0.5,6,0,8.877485124,6,3,,M,Good,Yes,Yes,No,Medium,Full,Bachelor,Middle,Government,4420,0
16,3.534241348,83.45893454,20.49433616,86.66310519,1.564462692,3,0,7.563446761,1,3,,F,Good,No,No,Yes,High,Minimal,Secondary,High,Private,3175,0
16,3.31053567,80,19.23658487,86.90283608,5.104070377,4,0,8.263780437,1,4,,M,Good,Yes,No,Yes,Medium,Full,Bachelor,Low,Self-employed,4463,0
15,3.582987738,80,12.23886292,90.31812278,0.5,2,0,9.041398126,2,2,,F,Poor,No,Yes,No,High,Full,Bachelor,Low,Private,3090,0
15,3.11283489,62.66068313,9.521304832,85.50556666,13.10377137,3,0,6.541020754,1,1,,M,Poor,Yes,No,No,High,Full,Bachelor,Low,Private,2092,0
20,1.706074774,30,2.548282287,39.85599226,20.40095666,4,3,4.935616641,0,0,,F,Good,No,No,No,Low,Full,Secondary,Low,Unemployed,479,1
16,2.85253944,91.95038886,2.778871955,50.952216,1,3,0,7.785827376,3,0,,M,Fair,Yes,No,No,High,Full,Master,Low,Private,2652,0
16,3.231377593,80,16.68638666,79.39128631,3.670230997,3,0,8.510102066,4,1,,M,Good,Yes,Yes,No,High,Full,Master,Middle,Government,2723,0
17,3.414945728,84.97565785,5.645353129,79.36770674,12.66210019,5,0,6.910885545,2,1,,F,Poor,No,No,No,High,Full,Master,Middle,Unemployed,2286,0
16,3.483023311,75.26887494,5.939052064,90,2.476693151,1,1,8.177482933,3,2,,F,Good,Yes,No,No,High,Minimal,Bachelor,High,Private,1721,0
16,3.580548575,96.81404646,11.91366001,75,9.340497236,3,0,8.034562382,3,2,,F,Good,Yes,Yes,No,Low,Full,Bachelor,High,Self-employed,4164,0
16,3.689557143,80.83977378,12.81886702,86.93642859,0.5,3,0,7.672159635,3,1,,F,Good,Yes,No,No,High,Full,Secondary,Middle,Private,4290,0
15,2.788597643,89.93668283,14.76409305,75,0.90925592,5,0,7.194034816,1,1,,F,Good,Yes,No,No,Medium,Full,Bachelor,High,Private,2727,0
16,3.587935581,81.02338314,5.758410802,88.46356278,2.155582645,2,0,9.002604639,3,1,,F,Poor,Yes,No,No,Medium,Full,Primary,Middle,Self-employed,3935,0
18,2.513880282,83.0521185,9.977180465,73.23747353,1.836557708,7,3,8.359632599,0,2,,F,Good,Yes,No,No,High,Full,Bachelor,Middle,Government,2494,0
18,2.558022089,32.18703988,9.252438521,36.45862554,21.10095598,4,0,7.010999031,4,0,,M,Fair,Yes,Yes,No,Medium,Minimal,Primary,Middle,Unemployed,706,1
17,1.323011212,38.59892494,3.174603411,51.20741559,2,3,1,5.876281299,0,1,,M,Good,No,No,Yes,Low,Minimal,Master,High,Unemployed,52,1
18,1.192624302,30,3.739330399,21.78623834,7.641611598,4,3,5.788311785,2,0,,M,Poor,Yes,Yes,No,Medium,Minimal,Master,Low,Unemployed,692,1
17,3.567987544,88.57852852,12.80612767,85.66297732,1.135738869,4,0,10.25488134,4,2,,F,Good,Yes,No,No,Low,Full,Master,Middle,Self-employed,3573,0
15,2.45356001,82.58179207,13.17058593,50,1,5,0,6.958822406,2,0,,F,Good,No,Yes,No,Medium,Limited,Bachelor,High,Government,1953,0
16,3.025907091,88.88956438,17.6417168,87.62582898,3.828448206,1,0,9.871555871,2,3,,M,Good,No,No,No,Low,Full,Bachelor,Middle,Private,4005,0
17,1.646931867,39.11414612,4.744768557,22.66516385,3.216897388,3,5,4.430112764,1,1,,M,Fair,No,No,No,Medium,Full,Secondary,Low,Self-employed,916,1
15,2.752443099,77.24623073,8.702436274,50,3.288425239,4,0,7.655166756,1,1,,M,Good,Yes,No,Yes,High,Full,Secondary,Low,Private,2551,0
16,1.306581283,60.45365391,7.050952506,32.49988624,2,7,0,3.096217532,1,2,,F,Poor,Yes,Yes,No,High,Full,Bachelor,Low,Private,27,1
16,3.476302811,80,19.04618312,88.64966398,1.487503954,4,1,8.496717621,4,5,,M,Fair,Yes,No,No,High,Full,Secondary,Middle,Private,3426,0
15,3.175271937,93.57341379,14.25345682,79.32037903,6.730715483,4,1,9.063825644,0,1,,F,Poor,No,No,No,Low,Full,Master,Low,Government,3559,0
18,2.308320533,76.69777301,6.697241329,60.58172997,1.843979334,5,2,7.132271731,2,2,,F,Good,Yes,No,No,High,Limited,Secondary,Middle,Private,2580,0
15,3.974358046,80,16.58403263,89.74990544,5.515328494,6,0,9.135179579,2,1,,F,Good,Yes,No,No,High,Full,Bachelor,Low,Self-employed,3443,0
17,1.897541508,60.43709452,5.409250774,80,25,7,4,7.012335166,0,1,,M,Good,No,No,Yes,Low,Full,Secondary,Low,Government,298,1
18,2.391241185,30,0.173804983,20,11.54065264,8,1,3.722172386,2,2,,M,Good,No,No,No,High,Full,Primary,Low,Unemployed,297,1
16,3.931926675,94.11365143,8.818379472,75,4.525191506,2,0,8.713423401,2,2,,M,Good,Yes,No,No,Medium,Full,Bachelor,Middle,Self-employed,2882,0
17,3.817689822,80,19.1674579,75,0.712089357,4,0,7.414440057,3,2,,M,Good,Yes,No,No,High,Limited,Secondary,Middle,Self-employed,4288,0
18,2.754425102,60,7.528925564,79.73619926,5.252301593,7,1,6.507889539,0,1,,F,Good,Yes,No,No,High,Full,Bachelor,Middle,Unemployed,2124,0
16,2.301986392,30,5.574067329,20,5.504268675,2,3,3.259767378,1,0,,M,Good,Yes,No,Yes,Medium,Minimal,Secondary,Low,Private,133,1
16,4.103341563,80,5.716575621,90.31982877,0.5,4,1,9.840749003,2,4,,M,Good,Yes,No,No,Low,Full,Secondary,Middle,Private,4321,0
16,3.739841737,81.62434405,17.97023094,75,4.463958905,3,0,8.349889047,3,0,,F,Good,No,No,No,Medium,Full,Bachelor,Middle,Private,3901,0
17,1.363143031,30,7.040436203,20,20.69750185,6,3,2.858081322,2,1,,F,Poor,No,Yes,Yes,Low,Full,Primary,Low,Private,1052,1
18,2.293885147,63.3704317,3.449819236,23.13310882,6.085889331,4,2,5.271190611,0,1,,F,Good,Yes,Yes,No,Medium,Full,Secondary,Middle,Unemployed,894,1
15,3.625612813,80,16.41814703,89.93563902,2.240666263,3,0,7.987848757,5,4,,M,Good,No,No,No,High,Full,Master,High,Government,3486,0
15,2.529297027,30,2.843648531,67.03721558,17.10441228,5,1,3.491041603,1,1,,M,Fair,No,No,No,Low,Limited,Secondary,High,Unemployed,439,1
18,3.17544805,83.3705448,7.924158913,77.97804128,8.203461236,5,2,6.36655563,1,2,,M,Good,No,No,No,High,Full,Bachelor,Middle,Self-employed,2184,0
16,2.84728354,74.89058475,3.195677343,90,1.192073506,3,0,5.013322467,0,1,,M,Good,Yes,No,No,Medium,Full,Bachelor,Middle,Government,2593,0
16,1.929422439,33.4094635,5.259706794,66.51666935,14.76206781,3,4,4.775099749,1,2,,M,Good,No,Yes,No,High,Limited,Secondary,Low,Private,275,1
17,1.629033294,48.36043887,4.8149665,44.77633743,2,4,3,7.330549847,2,0,,M,Good,Yes,Yes,No,Medium,Full,Primary,Middle,Unemployed,464,1
16,2.800419397,79.53233683,10.45893278,63.53857524,11.06859671,2,1,7.48347944,2,1,,F,Good,No,No,No,High,Full,Master,High,Private,2104,0
16,3.091985077,80.66924807,3.547432926,75.76040125,1,4,0,5.351006991,3,1,,M,Good,Yes,No,No,Medium,Full,Secondary,Middle,Self-employed,1352,0
17,2.806937019,88.50394159,2.327380447,60.71442498,3.222607555,3,0,7.227432835,1,0,,M,Good,Yes,No,No,Low,Full,Bachelor,Middle,Unemployed,1615,0
16,2.080972068,30,3.22597217,20,13.90290457,10,2,4.350771207,1,0,,F,Poor,Yes,No,No,Low,Full,Bachelor,High,Government,135,1
16,3.73380829,80,11.3798704,86.7429843,1.278164224,1,1,7.630062167,4,4,,F,Good,Yes,No,No,High,Full,Bachelor,High,Self-employed,4255,0
17,2.934299937,65.74202948,6.532849552,67.01081308,1.293014614,3,0,6.76922524,0,1,,F,Good,Yes,No,No,Low,Full,Bachelor,High,Self-employed,1565,0
15,3.089415444,80,10.66959741,97.24332682,3.285367544,2,1,8.266320145,1,3,,M,Poor,Yes,No,No,High,Full,Secondary,Middle,Private,3404,0
15,3.514872665,80,14.39597239,88.50989779,0.929357391,4,1,7.52043177,3,2,,M,Fair,No,No,No,High,Full,Bachelor,Middle,Unemployed,3966,0
16,2.065258657,95,8.82688426,70.66976527,2.391291314,6,3,8.139395276,0,0,,M,Fair,Yes,No,No,Low,Full,Bachelor,Middle,Government,1420,0
